,letter,year
lo001,dear ginger return holiday brighton glorious time mum go chesham afterwards watford polly broadstairs mum stayed aunt annie take peter account think whole dog chesham watford itch fight peter kindly oblige one particular dog go course dog owner go peter upon mum join battle go dog owner sort four side duel la midshipman easy upset whole lot aunt bessie really nothing except look chesham peter find convenient opening garden hedge go picnic lonesome miss mum go one way aunt bessie find peter although go distance meantime thunder storm come get wet two hour afterwards peter turn also wet think gently reprove whip return view damage do zeppelin last week bad bad expect report hear various people report get exaggerated glad mum london come pretty close u around corner upcot street house smash people street night clothes luckily nothing do place alberta street people also seem upset lot first go farringdon road opposite good station one house gutted front wall two top story blow street two house either side considerably damage course window distance either way opposite smash leather lane l.c.c building beatie bulford live block back bomb strip roof blew part front wall street tear window bodily bedding hang front building street course window shop front street go case explosion curious effect two window immediately damage wall still perfect glass even crack whilst opposite either side smash atom public house red lion street back bedford road look world though somebody lift bodily drop crumple appearance penny bank next door window leave shop front round go wood street remember burn year back aldermanbury darling sprinkle incendiary bomb set fire several large building damage do 5 6 large block office warehouse gutted play giddy ox liverpool street station wreck signal box train could get stop time bethnal green one bomb fell bus outside liverpool street bus passenger 8 number think go heaven suddenly damage do lombard street moorgate street corner roof knock cheapside opposite g.p.o seem great deal one consider size london number people small indeed damage 100 kill injure people take little notice already case rebuild fast possible new shop front put meantime shop display large notice business usual people look damage chiefly lady amusement suburb street barricade round damage part extra attraction recruiting meeting full swing one barricade leather lane cheap jack attract far attention large crowd damage building see happen 4 day ago much go must something big attract attention one result insurance company crowd 3 deep office insure everything back spring lloyd government insurance scheme come along consequence pay 6 % % never mind set mum less rest previous raid come immediately insure raid harry insured pay ¾ % consider time score another raid report somewhere make 5 7 day pretty good go however know whether get back story one bring kent another essex whilst brighton airship aeroplane along practically every day one day saw 30 aeroplane fly towards shoreham regard hinge £1-7-9 send kleo cable make £1-13-3 know anything else lively state office move everything lose never find look thing new address furnival street holborn e.c. telegrams morseby fleet london a.b.c code kennington folk shut week know move new address ambleside avenue streatham many thanks newspaper cutting amuse hudson river battle magazine part new york time particularly interesting might send also important news get much news photo good get get side see write 8 page fountain pen exhaust go get hair cut david,1915
lo002,zeppelin london 4th nov 1915 david ginger 56 ramsden rd balham nov 4th 1915 dear ginger zeppelin time fortunate enough good view whole thing great many people see hear happen earlier even passing man say another zep raid tonight – take much notice think another report paper somewhere happen common heard boom boom boom think gun test something sort often hear also practice ground bomb throw clapham common – almost immediately two boom strike might zep look round sky saw nothing – burst firing saw beauty come behind tree really beautiful sight large cigar shape bar silver float along shin light search light fine clear evening star shin moon course pretty dark throw zep gun go worth could see shell burst round world like star pop seem hit stood watch sight go south east later evening 12 clock thoroughly enjoy stay amongst u suppose return good view time far aldgate look like large elongated star shell look like little flash light round one two shell seem get near far away tell definitely seem remain still minute turn make may say appear keep two search light another hover around outside nearly others do comparatively little damage although loss life great drop bomb round new office within 100 yard chancery lane gray inn harry thick office time tale hear explosion second put hat rush open front door saw bomb fall close door bomb explode open door saw another bomb fall close door one explode go could see zep go away time street full sulphur fume go street turn corner another bomb fell close enough blow back tail coat go chancery lane time young river flowing one bomb burst water main afterwards come back office get brandy take holborn give woman bring several back office round look damage bomb chancery lane fell road outside stone building safe deposit smash glass around knock lump stonework burst water main water get wood block paving lift 100 yard leave graceful wave incendiary bomb fell stone building cause small fire bomb fell gary inn fell big grass ground close house blow window see front back ground floor office book fitting furniture etc etc mix together though devil pitch fork stir thing work block office back gray inn 100 yard away spot bomb fell blow glass two side building great many internal fanlight go crack two wall far side building blow open casement window wrench fastening two case snap cast iron stay certainly cheap thing cut clear two although glass window sound one bomb fell court yard law court knock lump masonry smash window around cheek tell another fell old skating rink aldwych make mess – course light temporary sort building explosion rip whole thing end end leave roof truss bare another fell road aldwych opposite gaid burst gas main take fire burnt considerable time course spread another fell building next door lyceum good deal damage building still stand algate believe bank corner minories smash various window shop front round pretty well smash croydon visit damage do whole chiefly glass suffer usual various report get one panic lyceum two woman tell harry theatre bomb fell entrance door knock burnt quickly put audience walk quietly another tale george grosswith sing bomb fell outside stop say well safe outside let u go performance go sing course one hear usual enquire-within-upon-everything gentleman ever ready give advice anything anybody one see shell burst round zep one realise difficult hit especially move quickly first one saw come sight within ten minute send punch ball kleo write say men highly delight £1-1-0 delay first owe fact none stock excuse one hear side today account delay account war bessie pendle road – archie get two three year job huddersfield already go bessie let house follow soon possible david,1915
lo003,david join army 28 dec 1915 david ginger dec 28th 1915 ramsden rd london dear ginger many thanks coat hanger useful get commission get one know mum tell join army join lord derby scheme shall call class also join previously london university officer train corps engineer unit kensington instruct gentle art strafe german shall course apply commission engineer soon possible power allow continue o.t.c shove anything think fit class call derby scheme camp yet come later expect ago thought apply commission direct much trial tribulation give mr rushbrooke advice get signature two magistrate good moral character go rushie get education strongly advise send application military training join o.t.c point responsible life men already lose large number young officer incompetent since heard war office give commission men without previous military training mum want buy boy something birthday ask send £1-1-0 enclose cheque make follow dr constable bill £3-5-6 cheque £5-2-0 hunby 7-6 boy present 1-1-0 cable 5-6 cheque 26-8-9 hanger 1-7-9 ________ punch ball 1-1-0 32-11-9 cake 6-9 6-17-0 pipe 3-0 _________ _________ £6-17-0 £25-14-9 send pipe uncle john get christmas day sorry unable send cable billy mason jean write say get address receive letter since away hope receive safely sorry jack get present send rag book enclose erl doll suppose get lose post david,1915
lo004,britain prepared ginger ethel david somewhere u.s.a. sometime june 1916 see post-mark definite information dear kid order quote address etc real brainy one see power order post office leave post-mark train front presumably enclose programme fine show saw saturday – maybe show england national anthem play three time crowd stand time cheer king george picture etc really think must british comment rise national anthem american play flag oh flag sheet considerable hesitation however finally stand land flag know tell story newspaper report week ago carter saw star stripe gutter red flag hang end girder cart pick flag red tie end girder haul fin disrespect flag manner explanation obvious man mean nothing especially find gutter let another instance occur last week hear international brotherhood apparently brother nationality meet backyard brooklyn burn respective flag signify nationality american get lock put clink desecrate flag much fin know personally think bunch must graduate lunatic asylum note free country may burn flag want still know national anthem send picture today next week hope send current history – lot excellent article sure enjoy think purchase set valuable history quote many viewpoint wonder dick taylor manage escape army seem fair escape walter writer small child call – economy either tempt write tribunal clapham junction point slacker help wonder healthy young britisher cane visit misapprehension think must dense turnip go lord kitchener memorial service trinity church wall st. wednesday morning church pack pavement part crowd vestibule service spoil small man try shuffle – mean push – front succeed apparently get back unfortunately purposely arouses temper high pitch thing fully determine take scruff neck gently lead go push front nice time suddenly john discover go time realise happen pusher find behind much taller man gradual movement crowd three u find nearer interior comparatively narrow door way beautiful panel well raise ridge presumably gentleman time life john ridge every time anyone struggle gentleman ridge well mould form mention john elbow side allow move position til service war news generally make pretty good reading present letter make good reading please send ever ethel,1916
lo005,1916 otc gidea park david ginger sister ethel live usa cadet dh taylor 7137 artist rifle o.t.c 28 th county london hare hall camp gidea park romford essex date unknown year doubtful dear ginger birthday within fortnight think enclose small brooch replace try get one christmas christmas unable present address write address letter ramsden rd angel heaven know may time write indefinite state life present moment write really time transfer artist seem get forward university o.t.c regiment probably know ordinary territorial regiment make o.t.c french front headquarters london several week drill regent park hampstead send miss several thing several fellows 11 join day already send france get training fairly hard work ordinary tommy work officer part well wash etc tea biscuit sound good tea sugar sometimes milk biscuit like viking stale physical drill go back make bed clean button belt equipment generally breakfast consisting porridge make water serve enamelled bowl dip enamelled plate mug boil bacon slice ½ inch thick put plate eat porridge bread margarine lucky marmalade left eat one plate knife fork spoon dip tea mug pail place floor stir spoon use porridge parade day work may squad drill platoon drill company drill forty kind drill two three lecture time take lunch ration consist bully beef close course press beef tin bread lunch 1 2 clock parade 2 work may trench digging map reading draw etc etc 4 little dinner 5 pm – stew serve way porridge bread alternate day pudding usually plum duff course eat plate whole 1/- day inclusive pay weekly 6 clock parade lecture 7 free remainder evening order write lecture etc light 10 generally speak want go camp full put en empty house 15 others 4 room size 12 x 12 three plank 9 wide place two trestle raise 6 floor bed course put take day beside four blanket borrow fifth know blanket new whether ever wash discreet dark brown colour one take come wonder would like white could sleep much first night get quite use hard bed sleep long possible inoculate typhoid london get tow dos stuff inject arm course make arm swell ache bit feel though get influenza two three day get variety job – instance first day become artist send 16 others pantechnican liverpool street imagine one clothe purple fine linen rid state city london seat top pantechnican arrival liverpool street unloading box store train state coach drive back headquarters another day hall porter headquarters yesterday house orderly mean clean house top bottom scrub floor general housemaid gay life get saturday afternoon sunday fairly free unless happen take u route march country excursion leave stop bound 2 mile radius camp however close london good long way mum come yesterday send photo demand yet turn although take week ago david,1916
lo006,28th sept 1916 square lodge zepps david ginger hut 2 sept 28th 1916 dear ginger thanks much sock fit splendidly altogether want due go school next monday shall probability put empty house rather remarkable discover quite chance captain member square lodge another man next hut also member camp institute two new idea one 120 men serve rifle ammunition ready equipment food send anywhere guard zepps may bring second another 90 men ready go hold zepp may come damage condition one two raid one last saturday come across south london drop bomb within 200 yard glen roy luckily uncle aunty brighton aunt martha harry home hear firing mum also brighton polly home say frighten although like it. damage streatham kennington think serious later letter please thank jean help sock write later give ‘ orrible detail school david p find photo hut enclose bed photo bottom leave hand corner course hut mean dress sunday best give idea thing,1916
lo007,otc sunday day rest david ginger hare sunday probably oct 1916 sunday day rest write ought think highly honour – expect put u pace thoroughly get little time get quite use undress dark light make rule work read friday busy day usually usual physical drill breakfast etc spend day entertaining sport call open fight usually take form belly flop load thing find carry march somewhere set across country run 50 yard flop full length lucky flop mud puddle bed gorse thistle ploughed field find lovely smooth patch grass – often lucky get run another 50 yard flop vary monotony scramble hedge two leave skin hair clothes etc behind take hedge else fall ditch grand game come back 4 clock get pay princely salary grateful government allow lecture 6 clock dinner exam till 9 allow go room clean thing morning mean let thing slide way write note collect note book see write one good thing practically fatigue get saturday morning scrub room generally get everything especially spick span thing get leave ordinary way room liable inspect time read look though grumble – – merely keep reputation british army really school mile front battalion much interesting work would go back see terrific lot get short time everyone must work get do different uniform 2walking clothe purple fine linen least exceed splendour practically officer uniform except one two small detail occasionally get salute poor ignorant tommies course feel fool entitle able acknowledge way harry webber call nov 1 st hear employ lidiard intercede power write even reply – get many letter david p glut field glass america people throw away hestitate pick pair send pps fine view last zepp get straffed bed camp awoke find someone fall chest lay awake time whilst others hang window allow leave hut endeavour see something presently whole camp begin cheer although order keep quiet etc etc shoot window time see whole sky alight red glare flaming zepp see zepp fellow although potter bar,1916
lo008,24th jan 1917 david officer david ginger 24 th jan 1917 dear ginger last monday leave – ala go final exam dec 19 th manage get full blown officer put gazette temporary second lieutenant probation name yet actually put gazette expect within day send two day exam leave g.p good home christmas mum seem think ill considerable time chief diet dutch drop lung healer similar dainty would submit exam easy 3 4 question whole 3 paper one could answer knowledge could get book really teach school hand think good exam point view choose officer nobody get high mark top man get 183 possible 25 th report monday last already well work today wednesday orderly officer mean inspect practically everything inspect ration room kitchen prisoner etc etc look men meal order see sufficient food good etc mount guard duty inspect altogether fairly long day start soon 6 morning shall finish evening thursday morning get nothing men take gas practice another lieutenant go voyage discovery around town place pretty dreary sort show consist two main street chiefly fill small shop sell anything particular least anything one really want come end main street find low lie flat field ideal place walk also prohibited area everyone pas get town mean expect mum unable come see even worth 3 u front feel somewhat two inn court go exam join time get rather friendly one two unfortunately share room afternoon men physical bayonet fighting officer join drill physical instructor rather glad cold indeed physical keep u warm otherwise stand around nothing way ever write thank last pair sock send splendid share room two men captain lieutenant barrack sleep camp bed even sleep bag 3 blanket none warm present thing rather slow know nobody get everything ask question time rather slow work course everyone get job care anyone else however expect thing improve get bit write often ever david,1916
lo009,6th feb 1917 david france fanny ethel 56 ramsden rd feb 6 1917 darling ethel line tell david start france go bright early beautiful sunny morning well hop well keep harm fond love love mamma send little erl lock bracelet letter feb hope get mamma,1916
fr001,10th july 1917 white heather luck note david receive letter return bef may david tuesday 10 july 1917 return mark wounded miss dear david shame compartment fill beckenham morning catch 8 busy ask girl start work 9 morning rather stay late still enjoy last night borrow recent first aid book read train german see bust round chance think frighten woman worker london silly fool make u think men folk go take calmly philosophically course concentrated essence get flavouring catch early train home last night usual knit usual workman yet come back transplant vegetable yet tramp get work nicely indeed though raid hindrance 5 day behindhand course raid make u extra busy good business sleep well last night wish could sleep well know hard time never mind shall rest one day enjoy stop long last saturday morning one girl super give piece white heather come scotland white heather suppose stand good luck tell give mama get home say send david bring home safely. forget day must send to-morrow bit raid today far ideal day one bright white cloud devil hide behind rather chilly brilliant hue nose disappear glad say look swollen yes evidently take drink think anything else say tell go send old office cleaner away year know someone brighton board lodge 14/- week fare 11/- spare already collect £1 able real lady whole week thought keep go poor old soul last two raid bad round neighbourhood bad come work connie come afternoon see mama bye anxious see go get home tell ern raider yet goodnight see later may,1917
