keys,letter,year
lo001,ginger return holiday brighton glorious chesham afterwards watford polly broadstairs stayed aunt annie peter account whole dog chesham watford itch fight peter kindly oblige particular dog dog owner peter upon join battle dog owner four side duel la midshipman easy upset whole lot aunt bessie except chesham peter convenient opening garden hedge picnic lonesome aunt bessie peter although distance meantime thunder storm wet hour afterwards peter wet gently reprove whip return view damage zeppelin report various report exaggerated london pretty close around corner upcot street smash street clothes luckily alberta street upset lot farringdon road opposite station gutted wall top story blow street either side considerably damage window distance either opposite smash leather lane l.c.c building beatie bulford live block bomb strip roof blew part wall street tear window bodily bedding hang building street window shop street case explosion curious effect window immediately damage wall perfect glass crack whilst opposite either side smash atom public red lion street bedford road world somebody lift bodily drop crumple appearance penny bank door window shop wood street remember burn aldermanbury darling sprinkle incendiary bomb set fire large building damage 5 6 large block warehouse gutted play giddy ox liverpool street station wreck signal box bethnal green bomb fell bus outside liverpool street bus passenger 8 number heaven suddenly damage lombard street moorgate street corner roof knock cheapside opposite g.p.o great deal consider size london number indeed damage 100 kill injure notice already case rebuild fast possible new shop meantime shop display large notice business usual damage chiefly lady amusement suburb street barricade damage part extra attraction recruiting meeting full swing barricade leather lane cheap jack attract attention large crowd damage building happen 4 ago something big attract attention result insurance company crowd deep insure everything spring lloyd government insurance scheme along consequence 6 % 2/6 % mind set less rest previous raid immediately insure raid harry insured ¾ % consider score raid report somewhere 5 7 pretty however whether story bring kent essex whilst brighton airship aeroplane along practically every saw 30 aeroplane fly towards shoreham regard hinge £1-7-9 5/6 kleo cable £1-13-3 else lively state move everything lose new address furnival street holborn e.c. telegrams morseby fleet london a.b.c code kennington folk shut move new address ambleside avenue streatham many thanks newspaper cutting amuse hudson river battle magazine part new york particularly interesting important photo side 8 page fountain pen exhaust hair cut,1915
lo002,zeppelin london 4th nov 1915 ginger 56 ramsden rd balham nov 4th 1915 ginger zeppelin fortunate enough view whole great many happen 9.30. earlier passing zep raid tonight notice report paper somewhere happen common heard boom boom boom gun test something often practice ground bomb throw clapham common almost immediately boom strike zep sky saw burst firing saw beauty behind tree beautiful sight large cigar shape bar silver float along shin light search light fine clear star shin moon pretty dark throw zep gun worth shell burst world star pop hit stood watch sight south east later 12 clock thoroughly amongst suppose return view aldgate large elongated star shell flash light shell near definitely remain minute appear search light hover around outside nearly others comparatively damage although loss life great drop bomb new within 100 yard chancery lane gray inn harry thick tale explosion second hat rush open door saw bomb fall close door bomb explode open door saw bomb fall close door explode zep street full sulphur fume street corner bomb fell close enough blow tail coat chancery lane young river flowing bomb burst water main afterwards brandy holborn woman bring damage bomb chancery lane fell road outside stone building safe deposit smash glass around knock lump stonework burst water main water wood block paving lift 100 yard graceful wave incendiary bomb fell stone building cause fire bomb fell gary inn fell big grass ground close blow window ground floor fitting furniture mix together devil pitch fork stir block gray inn 100 yard spot bomb fell blow glass side building great many internal fanlight crack wall side building blow open casement window wrench fastening case snap cast iron certainly cheap cut clear although glass window sound bomb fell court yard law court knock lump masonry smash window around cheek fell skating rink aldwych mess light temporary building explosion rip whole end end roof truss bare fell road aldwych opposite gaid burst gas main fire burnt considerable spread fell building door lyceum deal damage building stand algate believe bank corner minories smash various window shop pretty smash croydon visit damage whole chiefly glass suffer usual various report panic lyceum woman harry theatre bomb fell entrance door knock burnt quickly audience quietly tale george grosswith sing bomb fell outside safe outside performance sing usual enquire-within-upon-everything gentleman ever ready advice anybody shell burst zep realise difficult hit especially move quickly saw sight within ten minute punch ball kleo highly delight £1-1-0 delay owe fact none stock excuse side account delay account bessie pendle road archie three job huddersfield already bessie follow possible,1915
lo003,join army 28 dec 1915 ginger dec 28th 1915 ramsden rd london ginger many thanks coat hanger useful commission join army join lord derby scheme class join previously london university corps engineer unit kensington instruct gentle art strafe german apply commission engineer possible power allow continue o.t.c shove fit class derby scheme camp later ago thought apply commission direct trial tribulation rushbrooke advice signature magistrate moral character rushie education strongly advise application military training join o.t.c point responsible life already lose large number young incompetent since heard commission without previous military training buy boy something birthday £1-1-0 enclose cheque follow : dr constable bill £3-5-6 cheque £5-2-0 hunby 7-6 boy present 1-1-0 cable 5-6 cheque 26-8-9 hanger 1-7-9 ________ punch ball 1-1-0 32-11-9 cake 6-9 6-17-0 pipe 3-0 _________ _________ £6-17-0 £25-14-9 pipe uncle john christmas sorry unable cable billy mason jean address receive since receive safely sorry jack present rag enclose erl doll suppose lose,1915
lo004,britain prepared ginger somewhere u.s.a. sometime 1916 post-mark definite information kid order quote address real brainy power order post-mark presumably enclose programme fine show saw maybe show england national anthem play three crowd stand cheer king george picture british comment rise national anthem american play flag oh flag sheet considerable hesitation however finally stand land flag story newspaper report ago carter saw star stripe gutter red flag hang end girder cart pick flag red tie end girder haul fin disrespect flag manner explanation obvious mean especially gutter instance occur international brotherhood apparently brother nationality meet backyard brooklyn burn respective flag signify nationality american lock clink desecrate flag fin personally bunch graduate lunatic asylum note free country burn flag national anthem picture current history lot excellent article sure purchase set valuable history quote many viewpoint wonder dick manage escape army fair escape walter writer child economy either tempt tribunal clapham junction point slacker help wonder healthy young britisher cane visit misapprehension dense turnip lord kitchener memorial service trinity church wall st. wednesday church pack pavement part crowd vestibule service spoil shuffle mean push succeed apparently unfortunately purposely arouses temper high pitch fully determine scruff neck gently lead push suddenly john discover realise happen pusher behind taller gradual movement crowd three nearer interior comparatively narrow door beautiful panel raise ridge presumably gentleman life john ridge every anyone struggle gentleman ridge mould form mention john elbow side allow move position til service generally pretty reading present reading ever,1916
lo005,1916 otc gidea park ginger sister live usa cadet dh 7137 artist rifle o.t.c 28 county london hare hall camp gidea park romford essex date unknown doubtful ginger birthday within fortnight enclose brooch replace christmas christmas unable present address address ramsden rd angel heaven indefinite state life present moment transfer artist forward university o.t.c regiment probably ordinary territorial regiment o.t.c french headquarters london drill regent park hampstead fellows 11 join already france training fairly hard ordinary tommy part 5.45 wash tea biscuit sound tea sugar sometimes milk biscuit viking stale 6.30 physical drill 7. clean button belt equipment generally breakfast 7.45 consisting porridge water serve enamelled bowl dip enamelled plate mug boil bacon slice ½ inch thick plate eat porridge bread margarine lucky marmalade left eat plate knife fork spoon dip tea mug pail floor stir spoon use porridge 8.30 parade squad drill platoon drill company drill forty kind drill three lecture lunch ration consist bully beef close press beef tin bread lunch 1 clock parade trench digging map reading draw 4 dinner 5 pm stew serve porridge bread alternate pudding usually plum duff eat plate whole 1/- inclusive weekly 6 clock parade lecture 7 free remainder order lecture 9.15 light 10 generally speak 10. camp full en empty 15 others 4 size 12 x 12 three plank 9 wide trestle raise 6 floor beside four blanket borrow fifth blanket new whether ever wash discreet dark brown colour wonder white sleep use hard sleep possible inoculate typhoid london tow dos stuff inject arm arm swell ache bit influenza three variety job instance become artist 16 others pantechnican liverpool street imagine clothe purple fine linen rid state city london seat top pantechnican arrival liverpool street unloading box store state coach drive headquarters hall porter headquarters orderly mean clean top bottom scrub floor general housemaid gay life fairly free unless happen route country excursion bound mile radius camp however close london photo demand although ago,1916
lo006,28th sept 1916 : square lodge zepps ginger hut sept 28th 1916 ginger thanks sock fit splendidly altogether due school monday probability empty remarkable discover chance captain member square lodge hut member camp institute new 120 serve rifle ammunition ready equipment food anywhere guard zepps bring second 90 ready hold zepp damage condition raid across south london drop bomb within 200 yard glen roy luckily uncle aunty brighton aunt martha harry firing brighton polly frighten although it. damage streatham kennington serious later : thank jean help sock later orrible detail school p photo hut enclose photo bottom hand corner hut mean dress best,1916
lo007,otc rest ginger hare probably oct 1916 rest ought highly honour pace thoroughly use undress dark light rule 9.45 10.15. friday usually 5.30 usual physical drill breakfast spend entertaining sport open fight usually form belly flop load carry somewhere set across country run 50 yard flop full length lucky flop mud puddle gorse thistle ploughed field smooth patch grass often lucky run 50 yard flop vary monotony scramble hedge skin hair clothes behind hedge else fall ditch grand game 4 clock princely salary grateful government allow lecture 4.50 6 clock dinner 6.20 exam 7.50 till 9 allow clean mean slide note collect note practically fatigue scrub generally everything especially spick span ordinary liable inspect grumble merely reputation british army school mile battalion interesting terrific lot short everyone different uniform 2walking clothe purple fine linen least exceed splendour practically uniform except detail occasionally salute poor ignorant tommies fool entitle able acknowledge harry webber nov 1 st employ lidiard intercede power reply many p glut field glass america throw hestitate pick pair pps fine view zepp straffed camp awoke someone fall chest lay awake whilst others hang window allow hut endeavour something presently whole camp begin cheer although order quiet shoot window whole sky alight red glare flaming zepp zepp fellow although potter bar,1916
lo008,24th jan ginger 24 jan ginger monday ala final exam dec 19 manage full blown gazette temporary second lieutenant probation name actually gazette within exam g.p christmas ill considerable chief diet dutch drop lung healer similar dainty submit exam easy 4 question whole paper answer knowledge teach school hand exam point view choose nobody high mark top 183 possible 220. 25 159. report monday already wednesday orderly mean inspect practically everything inspect ration kitchen prisoner meal order sufficient food mount guard duty inspect altogether fairly 6 11.30 thursday : gas practice lieutenant voyage discovery around town pretty dreary show consist main street chiefly fill shop sell particular least end main street low lie flat field ideal prohibited area everyone pas town mean unable worth somewhat inn court exam join friendly unfortunately share physical bayonet fighting join drill physical instructor cold indeed physical warm otherwise stand around ever thank pair sock splendid share captain lieutenant barrack sleep camp sleep bag blanket none warm present slow nobody everything question slow everyone job care anyone else however improve bit often ever,1916
lo009,6th feb france fanny 56 ramsden rd feb 6 darling line france bright early beautiful sunny hop harm fond love love mamma erl lock bracelet feb 3. mamma,1916
fr001,10th july white heather luck note receive : return bef tuesday 10 july return mark wounded shame compartment fill catch 8 30. 9 0. late borrow recent aid german bust chance frighten woman worker london silly fool folk calmly philosophically concentrated essence flavouring catch early usual knit usual workman transplant vegetable tramp nicely indeed raid hindrance 5 behindhand raid extra business sleep sleep hard mind rest 30. super piece white heather scotland white heather suppose stand luck bring safely. forget to-morrow bit raid ideal bright white cloud devil hide behind chilly brilliant hue nose disappear swollen yes evidently drink else cleaner someone brighton board lodge 14/- fare 12/7 11/- spare already collect £1 able real lady whole thought poor soul raid neighbourhood 4.30 connie bye anxious ern raider 5.30 goodnight later,1917
