,letter,year
na_uk_01,dear mr welsh matter hour go trench eight day come call rest camp suppose call distinguish trench men work day road trench making come rifle artillery fire get 7 clock yesterday morning shell 9 clock trench fairly bad narrow smelly one pot shell time turn eight day really quite long enough strenuous work even turn rest ready turn alarm country really quite pretty like hill valley south wale brook river rain hard month year usually time next rainy season although gloriously sunny something wrong place really healthy look think fly something well heat still unburied dead body million million fly everything put cup tea without cover immediately cover dead one round mouth directly open speak eat pop game get net course worry medicine get plenty bully beef army biscuit bread fresh meat still luxury possible buy anything must man land house building kind see except fly living thing green canary lizard live dugout build reverse side hill hole really make comfortable bit digging waterproof sheet shell proof mean one sleep first night knock completely shell pitch right fortunately home time another must try get photo let see like must send one mess dugout everything name regiment responsible making taking instance road make trench camp call new bedford rd ridge take occupy call army map bedford ridge fill colour map find one advanced line lot stand ridge possible see lot country take hold nothing get wildly excited position strengthen much possible another attempt make push whole thing steady progress something might happen suddenly hope big ship bombard fort heavily day cruiser monitor etc stand bay help land battery shell trench see flash wait long time hear boom shriek shell passing head almost together look round quickly see burst shell trench sometimes hear explosion first know shell aim u bang explosion late get way three officer lay flat back day without hurt except dignity farther six men bury without one injure always like though quite good bathing find time go beach full view enemy come shell fire would appeal nervous never keep close together ten yard undress swim hope turk consider one man worth price shell casualty men keep close together wash teacup week worth bit risk get rid trench dust smell feel look clean really best bathing ever water quite warm clear hospital work do board ship stand bay case serious lengthy transfer one hospital ship call daily go either one base back england land troop night day spite fact come fire possible man way back wound ship buy base without ever land grand voyage officer either stateroom 1st class cabin food mostly ordinary cruise india australia wherever cruise line call usual cabin steward waiter attendance difficult remember exactly pleasure trip enjoy two weeks… kind regard sincerely h.w cronin lieutenant act captain others come back hospital,1915
na_uk_02,dear nic boyce thanks much interesting letter… wonder would hear someone office also many thanks good wish congratulation marriage convey wife sure thank much well tell little experience start mysteriously one sunday devonport captured german liner derflinger bad boat warrant officer 2nd class quarter right food fair submarine picket * every night one four company light out… seven half past stole gibraltar night fog expect torpedo reach malta due course skirt north african coast spend day go ashore drink need hot alexandria three day ashore every night bad place course low men go except route march saturday movement keep secret find do division push port say day sudden receive order sail soon find gallipoli pass aegean sea know full pretty island hour reach lemnos naval gun could hear booming run magnificent harbour full shipping life day push imbros 4½ mile sulva bay afternoon treat u naval shelling achi baba really side peninsula shoot hill mountain fine sight many chap go sick night sunday good ship make anafarta bay new landing effect two day 900 round four day ration much man expect carry dump u side lighter type flat-bottomed barge 7am short journey boom defence ashore wait something turn bivouac beach put unload lighter till 10 turk spot u start shell two men kill four wound start lose wound day although naturally take cover could one two near whilst get timber hold lighter manage dodge right night company receive order take pick shovel firing line five mile away half way chocolate hill… well nic 10th soon thick advance across salt lake extended order rifle fire dodge many chap get hit rather seriously since find glad rest foot hill push deliver good feel dark time guide lead u single file behind firing line lay bullet whistle round manage escape enemy yell worth glad captain order u beach take u hour reach place three go reinforce firing line go next day 6pm nearly thing do dark view time advance across take lala baba heel nearly raw new boot eventually rest fortnight later well right hill burn furiously many chap caught flame perishing regiment finish rather feathered bed find company ‘ til next day night parch heat water dry dig light job hide being… like ostrich ‘ til make hole large enough get make head cover,1915
na_uk_03,dear lack many thanks photograph receive think good saturday six u photo take similar position– khaki two picture together make lasting memento little spare time since train company drill mixed route march physical drill semaphore knot tie frog long jump etc men able go town saturday… others order overseas service wait proceed pop town seem question u number alphabetical order order send fully equip enclose postage photograph print might save one afraid spoil mine get bent overcoat pocket saturday please remember office… n. boyce,1915
na_uk_04,dear bert line let know alright hop same… present time dugout weather simply awful rain day day especially night night…to tell truth write letter wet skin dry thing change get winter fur coat gum boot latter cause curse imagine instance last night send select dugout platoon number pitch dark light allow strange place well honestly fell least 20 time get smother mud head foot top wet though rain torrent round inspection morning see ‘ comfortable ‘ blind hill dale ‘ sergeant ‘ sergeant expect men live put dampener lot language occupier unfortunately residence fell night take shelter tree 2am look half hour could find thing would shift settle may call would ‘ jack johnson would option trench last week john knee water get gum boot half full line bit quiet lately get shelling one get use give idea like sit paddington hear engine screech stretch time shall look forward short leave nearly three month stand good chance well must conclude…yours sincerely jack symons p.s every home near rest camp estaminet small french café sell call ‘ beer much like drop good beer give stuff ‘ best awful muc,1915
na_uk_05,dear mr hunt please accept convey gentleman best thanks state express cigarette fine oh picnic trench trench 10 day except last two day rain almost steadily result mud mud yet mud knee deep place luckily long top boot trench wear mud worry much except make foot cold ice… issue fur jacket keep body warm whole countryside cover snow moving object distinguishable long distance instance morning duty gun could see german walk road away behind line several burst gun range make damned mad tell see blighter able lay realise power one seem possess handle maxim personally feel could lay whole german army fire couple thousand round every night fritz trench keep quiet german try find gun maxim shell succeed kind regard everybody sincerely gilbert williams,1915
na_uk_06,might say merry bright hearted yet dear mr hunt receive card alright must thank much still longmoor sign move make cook mate work hard xmas sapper hodges,1915
na_uk_07,long keep head comparatively safe go first escape sentry duty couple hour 1am 3am instruct keep sharp look care idea keep head trench look beastly german however do quite uncanny watch enemy trench appear somewhat like black wave sixty yard front would suddenly see flash rifle machine gun immediately would come report nasty thud sandbag might rest fire five shot flash target aim another two shell lodge parapet either side head leave 2 3 inch certain death think near enough turn something near casualty amount average two per day kill course think terrible time least early april saw u relieve another division send mile back well-earned rest consist physical drill run breakfast remainder morning spend platoon drill musketry drill dinner put cap rest call know route march two hour spend day like dispatch possible speed ypres go support canadian spend unpleasant eight day time lose several hundred men nearly friend come draft kill wound retire best part german find two day less safely bivouac pretty wood stay week get work dig reserve trench behind front line build parapet demolish enemy high explosive shell like work night get sleep could daytime one morning awaken awful din seem though hell break loose shell fall like summer rain people often tell course conversation rain shell admit take grain salt could possible thought surprise find possible actually take place bombardment start half hour later three others order start reinforce go four consider safer way half mile open ground sweep continually shell give slight idea say previous night front reserve trench beautifully green field next morning much one could see grass simply one mass crater vary diameter ten twelve pace go half required distance shell fell yard force concussion explosion pitch several yard left come rather heavily however reach first line without mishap stay midnight relieve owe enough hold trench honour one v.c victoria cross two d.s.o distinguished service order one military cross one two d.c.m distinguished conduct medal next day parade sick back pain much could stand straight week back regiment line communication leave shortly possible pay visit audit office news chichester truly rifleman e.h.c stewart,0
na_uk_08,trench model way fairly safe connect good communication trench commanding officer house white sandbag fit window curtain window box pansy furnish table chair also large mirror course quite ‘ one occasion affair imagine town planning model dwelling etc show soldier adapt circumstance back trench ripen corn plenty wildflower bloom also canary cage trench use miner test air mine explosion see possible finish job censored line capture german short time ago stay keep busy sandbags etc night course especially watch enemy reserve support trench fatigue work do every night carry food ammunition material engineer etc firing line guess nothing continual ‘ bob work odd job,1915
na_uk_09,dear mr hunt many thanks welcome letter volunteer much interesting news friend office write standew receive letter doubt line acceptable beaumont seem best u saw williams hull three week ago small town near course seaforths argyll regiment always move together meet often glad hear old section still like german empire fast become thing past hope three survivor allow keep flag fly wanderer return firing line several time four different place besides support trench others hear call mobile division account gipsy life france last turn firing line six day six reserve exciting quiet place two month two day occupation british explode mine working german near trench prevent blow trench well wake follow saturday retaliate open rapid fire early morning however ready quickly reply bombard u say least noisy business eventually cease rapid firing quickly process follow another shelling gun put stop whole affair last hour ten minute although believe attack intend german leave trench opposite u put trench order take time parapet blow three yard near shell burst amongst lot beef tin scatter content direction besides bottom trench litter hundred empty cartridge proceed boiling water tea also show hun smoke still hundred yard separate two trench always case bob enemy good shot find cost smash top glass two periscope within half hour one morning present division rest two friend erect wee bivouac apple tree farm quite cosy fine weather last night rain hard several hour beat hasty retreat old barn plenty fruit water supply bad last sunday morning enjoy first hot bath since arrival old disused brewery turn bath troop also clothing wash disinfect kilt iron fifty tub provide wash two large vat fill cold water plunge afterwards get stripe yet study signal lately expect soon signal section must close get letter away hop mr taylor mr woodhams keep well kind regard sincerely ‘ frosty,1915
na_uk_10,dear gerald many thanks letter somewhat surprise news quite fresh hear anybody office come trench seven day awful time three day reserve put firing line take part attack also heavy bombardment sorry say many casualty thirty five kill one hundred thirty eight wound assure experience shall never forget anyhow williams kemball come quite safely see frost course battalion 8th argyll sutherland highlander brigade also matter fact firing line night come receive letter trench mr slater yes hear chamberlain jolly sad hear dick james might pass news me… shall glad hear could write wee bit tired seven day trench sincerely fred hull p.s course know address remember know,1915
